time,apparentTemperature,cloudCover,humidity,precipIntensity,precipProbability,temperature
1561939200,23.11,0.69,0.76,0.0202,0.07,22.79
1561942800,22.84,1,0.77,0.0091,0.06,22.52
1561946400,22.8,1,0.76,0.0253,0.07,22.51
1561950000,22.8,1,0.75,0.0532,0.07,22.54
1561953600,22.88,0.93,0.74,0.0652,0.07,22.62
1561957200,23.05,0.82,0.74,0.0655,0.07,22.78
1561960800,23.09,0.7,0.74,0,0,22.82
1561964400,23.21,0.59,0.73,0,0,22.95
1561968000,23.29,0.41,0.73,0.0589,0.06,23.03
1561971600,23.48,0.39,0.72,0.0477,0.06,23.22
1561975200,23.8,0.35,0.71,0.0403,0.05,23.53
1561978800,24.15,0.33,0.7,0.0251,0.04,23.88
1561982400,24.65,0.33,0.69,0,0,24.35
1561986000,24.74,0.24,0.69,0,0,24.43
1561989600,24.67,0.12,0.7,0.0072,0.03,24.36
1561993200,24.55,0.06,0.7,0.0174,0.04,24.23
1561996800,24.27,0.12,0.72,0.0224,0.04,23.94
1562000400,24.13,0.23,0.73,0.0251,0.04,23.79
1562004000,23.98,0.36,0.74,0.0083,0.03,23.62
1562007600,23.89,0.5,0.74,0.0056,0.02,23.55
1562011200,23.85,0.66,0.73,0.0107,0.03,23.54
1562014800,23.72,0.77,0.73,0.0217,0.04,23.42
1562018400,23.51,0.8,0.74,0.0239,0.05,23.21
1562022000,23.26,0.78,0.75,0.0257,0.05,22.95
